Anno,Quartiere,NIL,Uomini,Donne,Totale,Minori,Stranieri,Famiglie,Famiglie unipersonali,80 e più soli,Nati,Morti,Emigrati,Immigrati,80 e più,65 e più,Scuola dell'infanzia (numero),Scuola primaria (numero),Scuola secondaria di primo grado (numero),Area (metri quadrati),fermate linee superficie,fermate metro,piste ciclabili (m)
2011,Niguarda - Cà Granda,14,17117,19283,36400,5156,4313,7109,3639,390,289,398,819,948,3050,10195,10,6,4,4251281 .95,115,0,859
2011,Ortomercato,29,2008,2008,4016,554,1314,7949,3050,569,30,50,99,225,325,954,1,1,0,1402519 .65,15,0,1400
2011,Padova,19,17342,17969,35311,4891,10683,235,101,5,335,324,913,1822,2583,8117,5,4,3,2061945 .5,49,2,650
2011,Pagano,68,7912,9203,17115,3155,1836,7323,3167,440,119,157,322,559,1298,3934,2,2,2,1289734 .29,53,1,1887
2011,Parco Agricolo Sud,87,156,138,294,71,27,16013,7663,1188,4,1,32,20,8,35,0,0,0,5844580 .12,1,0,2750
2011,Parco Bosco in Città,88,384,255,639,145,347,7293,3036,551,11,2,208,100,15,58,0,0,0,7837668 .61,22,0,100
2011,Parco dei Navigli,86,157,136,293,58,44,13469,6136,1080,2,0,14,23,11,29,0,0,0,3617836 .27,2,0,0
2011,Parco delle Abbazie,85,246,199,445,120,210,22068,9998,2100,10,1,12,20,6,35,0,0,0,13722000,22,0,1940
2011,Parco Forlanini - Ortica,24,504,433,937,139,268,6170,2394,623,15,4,50,51,38,127,0,0,0,2925814 .52,16,1,3800
2011,Parco Lambro - Cimiano,18,9051,10676,19727,2635,2778,1273,489,31,149,275,451,666,2071,5808,7,4,3,4971969 .5,61,3,1940
2011,Parco Monlué - Ponte Lambro,31,2502,2364,4866,983,1690,14845,6637,952,60,30,152,255,137,679,1,1,0,2639289 .21,21,0,3430
2011,Parco Nord,84,75,67,142,23,41,11892,5415,764,2,2,0,7,2,14,1,1,0,1533639 .39,12,0,1200
2011,Parco Sempione,8,3,0,3,2,0,13372,6670,1115,0,0,0,0,0,0,0,0,0,470434 .33,8,0,1350
2011,Porta Romana,27,7808,8811,16619,2331,1967,10356,4761,797,163,141,406,700,1059,3484,1,2,1,1002793 .53,36,1,420
2011,Portello,67,3570,4118,7688,1054,739,616,259,57,69,75,143,223,777,2168,3,3,0,909636 .6,22,0,0
2011,QT 8,66,1841,2249,4090,599,406,5783,1963,333,28,42,60,98,479,1124,3,2,1,1024437 .42,18,1,917
2011,Quarto Cagnino,61,4644,4907,9551,1408,822,4601,1889,223,66,80,158,236,517,2443,3,1,1,986391 .48,29,0,630
